commit_sha	submodule
04e74b8a63100af258244a6d970773801c54cdc6	static-lunr
04e74b8a63100af258244a6d970773801c54cdc6	test/add-http-tests-and-fix-stdio
04e74b8a63100af258244a6d970773801c54cdc6	windows-moukaeritai-work
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	git-hangup-investigation
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	git-lfs-lite
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	githooks
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	llama-cpp-tk
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	mcp
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	mdns-inspector
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	mouse-pointer
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	pictogram
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	remove-desktop-ini
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	shellex-rust
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	static-lunr
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	test/add-http-tests-and-fix-stdio
05cdd223150adb8fe6e64e4cb9def63f08d3bd1c	windows-moukaeritai-work
068e271e26dc8974e82fe7c78f131ba778d15781	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
068e271e26dc8974e82fe7c78f131ba778d15781	git-hangup-investigation
068e271e26dc8974e82fe7c78f131ba778d15781	git-lfs-lite
068e271e26dc8974e82fe7c78f131ba778d15781	githooks
068e271e26dc8974e82fe7c78f131ba778d15781	llama-cpp-tk
068e271e26dc8974e82fe7c78f131ba778d15781	mcp
068e271e26dc8974e82fe7c78f131ba778d15781	mdns-inspector
068e271e26dc8974e82fe7c78f131ba778d15781	mouse-pointer
068e271e26dc8974e82fe7c78f131ba778d15781	pictogram
068e271e26dc8974e82fe7c78f131ba778d15781	remove-desktop-ini
068e271e26dc8974e82fe7c78f131ba778d15781	shellex-rust
068e271e26dc8974e82fe7c78f131ba778d15781	static-lunr
068e271e26dc8974e82fe7c78f131ba778d15781	test/add-http-tests-and-fix-stdio
068e271e26dc8974e82fe7c78f131ba778d15781	windows-moukaeritai-work
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	feat/mcp-filelist-server
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	git-hangup-investigation
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	git-lfs-lite
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	githooks
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	llama-cpp-tk
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	mcp
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	mdns-inspector
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	mouse-pointer
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	pictogram
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	remove-desktop-ini
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	shellex-rust
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	static-lunr
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	test/add-http-tests-and-fix-stdio
08a8551ac6e9fa21e83e7aa8239d00f4f4f38396	windows-moukaeritai-work
08b6815a4ab3f23fd5d9f1f462135df2323ac630	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
08b6815a4ab3f23fd5d9f1f462135df2323ac630	git-hangup-investigation
08b6815a4ab3f23fd5d9f1f462135df2323ac630	git-lfs-lite
08b6815a4ab3f23fd5d9f1f462135df2323ac630	githooks
08b6815a4ab3f23fd5d9f1f462135df2323ac630	llama-cpp-tk
08b6815a4ab3f23fd5d9f1f462135df2323ac630	mcp
08b6815a4ab3f23fd5d9f1f462135df2323ac630	mdns-inspector
08b6815a4ab3f23fd5d9f1f462135df2323ac630	mouse-pointer
08b6815a4ab3f23fd5d9f1f462135df2323ac630	pictogram
08b6815a4ab3f23fd5d9f1f462135df2323ac630	remove-desktop-ini
08b6815a4ab3f23fd5d9f1f462135df2323ac630	shellex-rust
08b6815a4ab3f23fd5d9f1f462135df2323ac630	static-lunr
08b6815a4ab3f23fd5d9f1f462135df2323ac630	test/add-http-tests-and-fix-stdio
08b6815a4ab3f23fd5d9f1f462135df2323ac630	windows-moukaeritai-work
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	git-hangup-investigation
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	git-lfs-lite
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	githooks
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	llama-cpp-tk
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	mcp
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	mdns-inspector
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	mouse-pointer
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	pictogram
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	remove-desktop-ini
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	shellex-rust
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	static-lunr
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	test/add-http-tests-and-fix-stdio
08cf43b414f9a4a0f1c50b9b55b2ff15d7d75369	windows-moukaeritai-work
09c4e4e1f129187540a7665431b3a11e4111a2ad	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
09c4e4e1f129187540a7665431b3a11e4111a2ad	git-hangup-investigation
09c4e4e1f129187540a7665431b3a11e4111a2ad	git-lfs-lite
09c4e4e1f129187540a7665431b3a11e4111a2ad	githooks
09c4e4e1f129187540a7665431b3a11e4111a2ad	llama-cpp-tk
09c4e4e1f129187540a7665431b3a11e4111a2ad	mcp
09c4e4e1f129187540a7665431b3a11e4111a2ad	mdns-inspector
09c4e4e1f129187540a7665431b3a11e4111a2ad	mouse-pointer
09c4e4e1f129187540a7665431b3a11e4111a2ad	pictogram
09c4e4e1f129187540a7665431b3a11e4111a2ad	remove-desktop-ini
09c4e4e1f129187540a7665431b3a11e4111a2ad	shellex-rust
09c4e4e1f129187540a7665431b3a11e4111a2ad	static-lunr
09c4e4e1f129187540a7665431b3a11e4111a2ad	test/add-http-tests-and-fix-stdio
09c4e4e1f129187540a7665431b3a11e4111a2ad	windows-moukaeritai-work
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	git-hangup-investigation
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	git-lfs-lite
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	githooks
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	llama-cpp-tk
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	mcp
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	mdns-inspector
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	mouse-pointer
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	pictogram
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	remove-desktop-ini
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	shellex-rust
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	static-lunr
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	test/add-http-tests-and-fix-stdio
0a59cf9c901dbf52ce9172d2ab12d9d3c8e861e8	windows-moukaeritai-work
0a68400278829b3dfc617621498a41355ae4ccc5	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0a68400278829b3dfc617621498a41355ae4ccc5	git-hangup-investigation
0a68400278829b3dfc617621498a41355ae4ccc5	git-lfs-lite
0a68400278829b3dfc617621498a41355ae4ccc5	githooks
0a68400278829b3dfc617621498a41355ae4ccc5	llama-cpp-tk
0a68400278829b3dfc617621498a41355ae4ccc5	mcp
0a68400278829b3dfc617621498a41355ae4ccc5	mdns-inspector
0a68400278829b3dfc617621498a41355ae4ccc5	mouse-pointer
0a68400278829b3dfc617621498a41355ae4ccc5	pictogram
0a68400278829b3dfc617621498a41355ae4ccc5	remove-desktop-ini
0a68400278829b3dfc617621498a41355ae4ccc5	shellex-rust
0a68400278829b3dfc617621498a41355ae4ccc5	static-lunr
0a68400278829b3dfc617621498a41355ae4ccc5	test/add-http-tests-and-fix-stdio
0a68400278829b3dfc617621498a41355ae4ccc5	windows-moukaeritai-work
0ad3fa83a4641180e9b9216c152a8dd097476db9	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0ad3fa83a4641180e9b9216c152a8dd097476db9	git-hangup-investigation
0ad3fa83a4641180e9b9216c152a8dd097476db9	git-lfs-lite
0ad3fa83a4641180e9b9216c152a8dd097476db9	githooks
0ad3fa83a4641180e9b9216c152a8dd097476db9	llama-cpp-tk
0ad3fa83a4641180e9b9216c152a8dd097476db9	mcp
0ad3fa83a4641180e9b9216c152a8dd097476db9	mdns-inspector
0ad3fa83a4641180e9b9216c152a8dd097476db9	mouse-pointer
0ad3fa83a4641180e9b9216c152a8dd097476db9	pictogram
0ad3fa83a4641180e9b9216c152a8dd097476db9	remove-desktop-ini
0ad3fa83a4641180e9b9216c152a8dd097476db9	shellex-rust
0ad3fa83a4641180e9b9216c152a8dd097476db9	static-lunr
0ad3fa83a4641180e9b9216c152a8dd097476db9	test/add-http-tests-and-fix-stdio
0ad3fa83a4641180e9b9216c152a8dd097476db9	windows-moukaeritai-work
0b0cc7293e7decd06e8099838ce4e6605797efd3	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0b0cc7293e7decd06e8099838ce4e6605797efd3	feat/mcp-filelist-server
0b0cc7293e7decd06e8099838ce4e6605797efd3	git-hangup-investigation
0b0cc7293e7decd06e8099838ce4e6605797efd3	git-lfs-lite
0b0cc7293e7decd06e8099838ce4e6605797efd3	githooks
0b0cc7293e7decd06e8099838ce4e6605797efd3	llama-cpp-tk
0b0cc7293e7decd06e8099838ce4e6605797efd3	mcp
0b0cc7293e7decd06e8099838ce4e6605797efd3	mdns-inspector
0b0cc7293e7decd06e8099838ce4e6605797efd3	mouse-pointer
0b0cc7293e7decd06e8099838ce4e6605797efd3	pictogram
0b0cc7293e7decd06e8099838ce4e6605797efd3	remove-desktop-ini
0b0cc7293e7decd06e8099838ce4e6605797efd3	shellex-rust
0b0cc7293e7decd06e8099838ce4e6605797efd3	static-lunr
0b0cc7293e7decd06e8099838ce4e6605797efd3	test/add-http-tests-and-fix-stdio
0b0cc7293e7decd06e8099838ce4e6605797efd3	windows-moukaeritai-work
